ID,State,Date,Total_Deaths,New_Deaths
234,Alabama,9/11/2020,3625,19
235,Alabama,9/12/2020,3648,23
236,Alabama,9/13/2020,3679,31
237,Alabama,9/14/2020,3696,17
238,Alabama,9/15/2020,3722,26
239,Alabama,9/16/2020,3750,28
240,Alabama,9/17/2020,3769,19
241,Alabama,9/18/2020,3785,16
242,Alabama,9/19/2020,3794,9
243,Alabama,9/20/2020,3809,15
244,Alabama,9/21/2020,3829,20
245,Alabama,9/22/2020,3846,17
246,Alabama,9/23/2020,3866,20
247,Alabama,9/24/2020,3879,13
248,Alabama,9/25/2020,3887,8
249,Alabama,9/26/2020,3900,13
250,Alabama,9/27/2020,3917,17
251,Alabama,9/28/2020,3931,14
252,Alabama,9/29/2020,3952,21
253,Alabama,9/30/2020,3968,16
254,Alabama,10/1/2020,3986,18
255,Alabama,10/2/2020,4004,18
256,Alabama,10/3/2020,4021,17
257,Alabama,10/4/2020,4042,21
258,Alabama,10/5/2020,4070,28
259,Alabama,10/6/2020,4091,21
260,Alabama,10/7/2020,4111,20
261,Alabama,10/8/2020,4128,17
262,Alabama,10/9/2020,4147,19
263,Alabama,10/10/2020,4169,22
264,Alabama,10/11/2020,4186,17
265,Alabama,10/12/2020,4201,15
266,Alabama,10/13/2020,4222,21
267,Alabama,10/14/2020,4240,18
268,Alabama,10/15/2020,4259,19
269,Alabama,10/16/2020,4281,22
270,Alabama,10/17/2020,4299,18
271,Alabama,10/18/2020,4321,22
272,Alabama,10/19/2020,4343,22
273,Alabama,10/20/2020,4359,16
274,Alabama,10/21/2020,4365,6
275,Alabama,10/22/2020,4382,17
276,Alabama,10/23/2020,4403,21
277,Alabama,10/24/2020,4425,22
278,Alabama,10/25/2020,4443,18
279,Alabama,10/26/2020,4461,18
280,Alabama,10/27/2020,4484,23
281,Alabama,10/28/2020,4504,20
282,Alabama,10/29/2020,4530,26
283,Alabama,10/30/2020,4545,15
284,Alabama,10/31/2020,4561,16
285,Alabama,11/1/2020,4580,19
286,Alabama,11/2/2020,4602,22
287,Alabama,11/3/2020,4618,16
288,Alabama,11/4/2020,4641,23
289,Alabama,11/5/2020,4671,30
290,Alabama,11/6/2020,4695,24
291,Alabama,11/7/2020,4712,17
292,Alabama,11/8/2020,4735,23
293,Alabama,11/9/2020,4760,25
294,Alabama,11/10/2020,4783,23
295,Alabama,11/11/2020,4807,24
296,Alabama,11/12/2020,4839,32
297,Alabama,11/13/2020,4864,25
298,Alabama,11/14/2020,4895,31
299,Alabama,11/15/2020,4920,25
300,Alabama,11/16/2020,4944,24
301,Alabama,11/17/2020,4968,24
302,Alabama,11/18/2020,4988,20
303,Alabama,11/19/2020,5012,24
304,Alabama,11/20/2020,5043,31
305,Alabama,11/21/2020,5076,33
306,Alabama,11/22/2020,5103,27
307,Alabama,11/23/2020,5130,27
308,Alabama,11/24/2020,5153,23
309,Alabama,11/25/2020,5190,37
310,Alabama,11/26/2020,5214,24
311,Alabama,11/27/2020,5247,33
312,Alabama,11/28/2020,5284,37
313,Alabama,11/29/2020,5327,43
314,Alabama,11/30/2020,5362,35
315,Alabama,12/1/2020,5392,30
316,Alabama,12/2/2020,5433,41
317,Alabama,12/3/2020,5473,40
318,Alabama,12/4/2020,5510,37
319,Alabama,12/5/2020,5546,36
320,Alabama,12/6/2020,5602,56
321,Alabama,12/7/2020,5651,49
322,Alabama,12/8/2020,5704,53
323,Alabama,12/9/2020,5762,58
324,Alabama,12/10/2020,5814,52
325,Alabama,12/11/2020,5866,52
326,Alabama,12/12/2020,5931,65
327,Alabama,12/13/2020,5970,39
328,Alabama,12/14/2020,6033,63
329,Alabama,12/15/2020,6090,57
330,Alabama,12/16/2020,6162,72
331,Alabama,12/17/2020,6213,51
332,Alabama,12/18/2020,6269,56
333,Alabama,12/19/2020,6328,59
334,Alabama,12/20/2020,6392,64
335,Alabama,12/21/2020,6457,65
336,Alabama,12/22/2020,6524,67
337,Alabama,12/23/2020,6603,79
338,Alabama,12/24/2020,6663,60
339,Alabama,12/25/2020,6719,56
340,Alabama,12/26/2020,6792,73
341,Alabama,12/27/2020,6866,74
342,Alabama,12/28/2020,6935,69
343,Alabama,12/29/2020,7014,79
344,Alabama,12/30/2020,7081,67
345,Alabama,12/31/2020,7151,70
346,Alabama,1/1/2021,7233,82
347,Alabama,1/2/2021,7311,78
348,Alabama,1/3/2021,7386,75
349,Alabama,1/4/2021,7477,91
350,Alabama,1/5/2021,7547,70
351,Alabama,1/6/2021,7627,80
352,Alabama,1/7/2021,7706,79
353,Alabama,1/8/2021,7778,72
354,Alabama,1/9/2021,7859,81
355,Alabama,1/10/2021,7941,82
356,Alabama,1/11/2021,8027,86
357,Alabama,1/12/2021,8104,77
358,Alabama,1/13/2021,8187,83
359,Alabama,1/14/2021,8282,95
360,Alabama,1/15/2021,8355,73
361,Alabama,1/16/2021,8424,69
362,Alabama,1/17/2021,8493,69
363,Alabama,1/18/2021,8578,85
364,Alabama,1/19/2021,8658,80
365,Alabama,1/20/2021,8740,82
366,Alabama,1/21/2021,8828,88
367,Alabama,1/22/2021,8913,85
368,Alabama,1/23/2021,8985,72
369,Alabama,1/24/2021,9056,71
370,Alabama,1/25/2021,9120,64
371,Alabama,1/26/2021,9196,76
372,Alabama,1/27/2021,9257,61
373,Alabama,1/28/2021,9337,80
374,Alabama,1/29/2021,9415,78
375,Alabama,1/30/2021,9481,66
376,Alabama,1/31/2021,9519,38
377,Alabama,2/1/2021,9572,53
378,Alabama,2/2/2021,9624,52
379,Alabama,2/3/2021,9680,56
380,Alabama,2/4/2021,9730,50
381,Alabama,2/5/2021,9781,51
382,Alabama,2/6/2021,9823,42
383,Alabama,2/7/2021,9857,34
384,Alabama,2/8/2021,9893,36
385,Alabama,2/9/2021,9940,47
386,Alabama,2/10/2021,9989,49
